reclat,reclon,
42.90550, -78.87021,
42.90547, -78.87021,
42.90545, -78.87023,
42.90543, -78.87021,
42.90540, -78.87020,
42.90538, -78.87020,
42.90535, -78.87020,
42.90532, -78.87020,
42.90529, -78.87019,
42.90527, -78.87019,
42.90524, -78.87018,
42.90521, -78.87018,
42.90519, -78.87018,
42.90517, -78.87018,
42.90515, -78.87019,
42.90513, -78.87019,
42.90510, -78.87020,
42.90508, -78.87021,
42.90506, -78.87022,
42.90503, -78.87022,
42.90500, -78.87022,
42.90498, -78.87023,
42.90495, -78.87023,
42.90492, -78.87024,
42.90490, -78.87025,
42.90488, -78.87026,
42.90486, -78.87027,
42.90484, -78.87029,
42.90481, -78.87029,
42.90480, -78.87032,
42.90479, -78.87034,
42.90476, -78.87036,
42.90476, -78.87038,
42.90476, -78.87043,
42.90475, -78.87046,
42.90475, -78.87050,
42.90477, -78.87048,
42.90477, -78.87045,
42.90473, -78.87045,
42.90473, -78.87041,
42.90476, -78.87043,
42.90476, -78.87048,
42.90475, -78.87051,
42.90477, -78.87053,
42.90477, -78.87056,
42.90477, -78.87059,
42.90477, -78.87063,
42.90476, -78.87065,
42.90475, -78.87067,
42.90476, -78.87071,
42.90475, -78.87074,
42.90474, -78.87077,
42.90474, -78.87080,
42.90474, -78.87082,
42.90474, -78.87085,
42.90474, -78.87088,
42.90473, -78.87090,
42.90473, -78.87095,
42.90473, -78.87098,
42.90473, -78.87100,
42.90472, -78.87103,
42.90472, -78.87106,
42.90472, -78.87110,
42.90473, -78.87113,
42.90473, -78.87116,
42.90474, -78.87118,
42.90473, -78.87121,
42.90473, -78.87126,
42.90473, -78.87129,
42.90473, -78.87133,
42.90474, -78.87135,
42.90474, -78.87139,
42.90473, -78.87143,
42.90474, -78.87147,
42.90474, -78.87150,
42.90474, -78.87154,
42.90474, -78.87158,
42.90473, -78.87163,
42.90472, -78.87166,
42.90472, -78.87170,
42.90472, -78.87174,
42.90471, -78.87178,
42.90471, -78.87181,
42.90472, -78.87185,
42.90471, -78.87189,
42.90471, -78.87191,
42.90469, -78.87192,
42.90466, -78.87192,
42.90465, -78.87189,
42.90464, -78.87186,
42.90464, -78.87183,
42.90464, -78.87180,
42.90463, -78.87178,
42.90464, -78.87173,
42.90463, -78.87170,
42.90464, -78.87167,
42.90466, -78.87163,
42.90467, -78.87161,
42.90467, -78.87157,
42.90465, -78.87155,
42.90466, -78.87150,
42.90465, -78.87148,
42.90465, -78.87144,
42.90466, -78.87142,
42.90465, -78.87138,
42.90466, -78.87135,
42.90466, -78.87132,
42.90466, -78.87129,
42.90466, -78.87125,
42.90466, -78.87122,
42.90465, -78.87118,
42.90465, -78.87115,
42.90464, -78.87112,
42.90464, -78.87108,
42.90464, -78.87106,
42.90463, -78.87102,
42.90464, -78.87099,
42.90463, -78.87096,
42.90462, -78.87094,
42.90462, -78.87090,
42.90460, -78.87088,
42.90458, -78.87086,
42.90454, -78.87085,
42.90452, -78.87082,
42.90452, -78.87080,
42.90452, -78.87076,
42.90453, -78.87073,
42.90454, -78.87069,
42.90457, -78.87067,
42.90459, -78.87064,
42.90460, -78.87063,
42.90460, -78.87061,
42.90460, -78.87058,
42.90460, -78.87054,
42.90461, -78.87049,
42.90459, -78.87047,
42.90455, -78.87047,
42.90452, -78.87047,
42.90449, -78.87047,
42.90446, -78.87047,
42.90441, -78.87046,
42.90438, -78.87047,
42.90435, -78.87047,
42.90433, -78.87048,
42.90430, -78.87049,
42.90427, -78.87049,
42.90424, -78.87048,
42.90422, -78.87047,
42.90420, -78.87046,
42.90418, -78.87045,
42.90416, -78.87046,
42.90414, -78.87047,
42.90411, -78.87050,
42.90411, -78.87053,
42.90409, -78.87056,
42.90408, -78.87058,
42.90406, -78.87060,
42.90403, -78.87061,
42.90401, -78.87061,
42.90399, -78.87062,
42.90397, -78.87063,
42.90395, -78.87063,
42.90393, -78.87063,
42.90390, -78.87064,
42.90387, -78.87065,
42.90385, -78.87067,
42.90382, -78.87067,
42.90379, -78.87067,
42.90377, -78.87065,
42.90375, -78.87065,
42.90372, -78.87067,
42.90371, -78.87068,
42.90368, -78.87068,
42.90366, -78.87069,
42.90364, -78.87070,
42.90361, -78.87071,
42.90359, -78.87071,
42.90356, -78.87071,
42.90353, -78.87071,
42.90351, -78.87071,
42.90349, -78.87071,
42.90346, -78.87072,
42.90345, -78.87073,
42.90342, -78.87074,
42.90339, -78.87075,
42.90336, -78.87076,
42.90333, -78.87077,
42.90331, -78.87077,
42.90328, -78.87079,
42.90325, -78.87078,
42.90323, -78.87079,
42.90320, -78.87081,
42.90317, -78.87082,
42.90316, -78.87083,
42.90314, -78.87084,
42.90313, -78.87086,
42.90310, -78.87087,
42.90307, -78.87088,
42.90305, -78.87089,
42.90301, -78.87089,
42.90299, -78.87090,
42.90298, -78.87092,
42.90296, -78.87094,
42.90293, -78.87096,
42.90291, -78.87097,
42.90288, -78.87099,
42.90286, -78.87099,
42.90284, -78.87100,
42.90282, -78.87100,
42.90280, -78.87102,
42.90277, -78.87103,
42.90275, -78.87103,
42.90273, -78.87104,
42.90271, -78.87105,
42.90269, -78.87105,
42.90266, -78.87106,
42.90264, -78.87106,
42.90261, -78.87107,
42.90259, -78.87107,
42.90258, -78.87109,
42.90255, -78.87111,
42.90253, -78.87110,
42.90251, -78.87111,
42.90250, -78.87107,
42.90249, -78.87104,
42.90248, -78.87101,
42.90247, -78.87098,
42.90247, -78.87095,
42.90247, -78.87091,
42.90248, -78.87086,
42.90248, -78.87083,
42.90250, -78.87079,
42.90253, -78.87080,
42.90255, -78.87078,
42.90256, -78.87076,
42.90257, -78.87073,
42.90254, -78.87072,
42.90252, -78.87071,
42.90250, -78.87074,
42.90251, -78.87077,
42.90250, -78.87080,
42.90250, -78.87077,
42.90253, -78.87074,
42.90255, -78.87072,
42.90258, -78.87071,
42.90259, -78.87070,
42.90263, -78.87068,
42.90265, -78.87069,
42.90268, -78.87068,
42.90271, -78.87068,
42.90273, -78.87066,
42.90275, -78.87066,
42.90277, -78.87065,
42.90280, -78.87064,
42.90283, -78.87065,
42.90286, -78.87064,
42.90289, -78.87064,
42.90291, -78.87063,
42.90293, -78.87063,
42.90298, -78.87063,
42.90299, -78.87063,
42.90302, -78.87060,
42.90304, -78.87060,
42.90306, -78.87058,
42.90306, -78.87056,
42.90308, -78.87056,
42.90310, -78.87057,
42.90313, -78.87058,
42.90316, -78.87056,
42.90318, -78.87055,
42.90320, -78.87055,
42.90322, -78.87055,
42.90324, -78.87056,
42.90325, -78.87052,
42.90327, -78.87052,
42.90329, -78.87055,
42.90331, -78.87057,
42.90335, -78.87057,
42.90337, -78.87057,
42.90340, -78.87056,
42.90339, -78.87054,
42.90337, -78.87054,
42.90337, -78.87058,
42.90338, -78.87060,
42.90338, -78.87063,
42.90336, -78.87063,
42.90336, -78.87060,
42.90340, -78.87060,
42.90342, -78.87060,
42.90345, -78.87057,
42.90345, -78.87054,
42.90346, -78.87051,
42.90348, -78.87049,
42.90350, -78.87048,
42.90352, -78.87048,
42.90355, -78.87048,
42.90358, -78.87046,
42.90360, -78.87045,
42.90363, -78.87045,
42.90365, -78.87044,
42.90368, -78.87043,
42.90371, -78.87041,
42.90374, -78.87040,
42.90376, -78.87039,
42.90379, -78.87038,
42.90381, -78.87037,
42.90383, -78.87037,
42.90386, -78.87035,
42.90388, -78.87034,
42.90390, -78.87033,
42.90393, -78.87032,
42.90396, -78.87032,
42.90398, -78.87032,
42.90400, -78.87031,
42.90402, -78.87032,
42.90405, -78.87031,
42.90407, -78.87030,
42.90410, -78.87029,
42.90411, -78.87029,
42.90413, -78.87028,
42.90415, -78.87027,
42.90417, -78.87027,
42.90419, -78.87026,
42.90422, -78.87026,
42.90425, -78.87027,
42.90427, -78.87027,
42.90430, -78.87028,
42.90432, -78.87030,
42.90435, -78.87032,
42.90437, -78.87032,
42.90439, -78.87031,
42.90441, -78.87032,
42.90443, -78.87030,
42.90445, -78.87029,
42.90447, -78.87029,
42.90450, -78.87030,
42.90452, -78.87032,
42.90454, -78.87031,
42.90456, -78.87031,
42.90457, -78.87027,
42.90457, -78.87024,
42.90456, -78.87022,
42.90456, -78.87025,
42.90454, -78.87027,
42.90453, -78.87030,
42.90450, -78.87027,
42.90450, -78.87025,
42.90452, -78.87024,
42.90455, -78.87025,
42.90457, -78.87026,
42.90459, -78.87024,
42.90460, -78.87020,
42.90462, -78.87018,
42.90463, -78.87023,
42.90465, -78.87023,
42.90468, -78.87022,
42.90471, -78.87022,
42.90473, -78.87019,
42.90475, -78.87017,
42.90477, -78.87015,
42.90478, -78.87014,
42.90481, -78.87014,
42.90483, -78.87014,
42.90485, -78.87013,
42.90488, -78.87010,
42.90490, -78.87009,
42.90492, -78.87008,
42.90494, -78.87007,
42.90498, -78.87008,
42.90501, -78.87009,
42.90503, -78.87008,
42.90505, -78.87008,
42.90508, -78.87007,
42.90510, -78.87007,
42.90513, -78.87006,
42.90515, -78.87006,
42.90518, -78.87004,
42.90520, -78.87004,
42.90522, -78.87002,
42.90524, -78.87000,
42.90526, -78.86998,
42.90528, -78.86997,
42.90531, -78.86998,
42.90533, -78.86996,
42.90535, -78.86993,
42.90538, -78.86989,
42.90541, -78.86988,
42.90543, -78.86987,
42.90545, -78.86986,
42.90547, -78.86986,
42.90550, -78.86985,
42.90553, -78.86986,
42.90555, -78.86987,
42.90558, -78.86986,
42.90562, -78.86985,
42.90564, -78.86985,
42.90566, -78.86984,
42.90568, -78.86983,
42.90571, -78.86982,
42.90572, -78.86981,
42.90571, -78.86978,
42.90569, -78.86977,
42.90569, -78.86980,
42.90569, -78.86984,
42.90568, -78.86988,
42.90566, -78.86988,
42.90563, -78.86987,
42.90565, -78.86984,
42.90567, -78.86983,
42.90569, -78.86981,
42.90571, -78.86977,
42.90571, -78.86975,
42.90572, -78.86973,
42.90574, -78.86972,
42.90576, -78.86971,
42.90578, -78.86971,
42.90580, -78.86970,
42.90582, -78.86969,
42.90585, -78.86968,
42.90587, -78.86967,
42.90589, -78.86967,
42.90592, -78.86966,
42.90595, -78.86964,
42.90598, -78.86964,
42.90601, -78.86962,
42.90603, -78.86962,
42.90605, -78.86961,
42.90609, -78.86961,
42.90611, -78.86960,
42.90613, -78.86959,
42.90615, -78.86959,
42.90618, -78.86958,
42.90621, -78.86957,
42.90623, -78.86956,
42.90624, -78.86955,
42.90627, -78.86954,
42.90630, -78.86954,
42.90632, -78.86953,
42.90634, -78.86951,
42.90636, -78.86951,
42.90639, -78.86950,
42.90641, -78.86950,
42.90644, -78.86951,
42.90646, -78.86951,
42.90649, -78.86951,
42.90652, -78.86951,
42.90654, -78.86951,
42.90655, -78.86953,
42.90659, -78.86953,
42.90663, -78.86952,
42.90664, -78.86951,
42.90667, -78.86951,
42.90669, -78.86951,
42.90673, -78.86950,
42.90673, -78.86948,
42.90672, -78.86946,
42.90671, -78.86950,
42.90671, -78.86953,
42.90671, -78.86957,
42.90670, -78.86957,
42.90671, -78.86954,
42.90673, -78.86952,
42.90675, -78.86952,
42.90677, -78.86952,
42.90679, -78.86952,
42.90681, -78.86950,
42.90684, -78.86949,
42.90686, -78.86947,
42.90688, -78.86946,
42.90691, -78.86944,
42.90693, -78.86942,
42.90691, -78.86939,
42.90689, -78.86937,
42.90686, -78.86939,
42.90685, -78.86942,
42.90685, -78.86944,
42.90686, -78.86947,
42.90686, -78.86951,
42.90686, -78.86953,
42.90684, -78.86950,
42.90685, -78.86947,
42.90686, -78.86945,
42.90688, -78.86943,
42.90691, -78.86942,
42.90693, -78.86939,
42.90695, -78.86939,
42.90699, -78.86938,
42.90701, -78.86938,
42.90703, -78.86936,
42.90705, -78.86934,
42.90708, -78.86932,
42.90711, -78.86930,
42.90712, -78.86932,
42.90714, -78.86932,
42.90716, -78.86931,
42.90719, -78.86931,
42.90721, -78.86931,
42.90723, -78.86932,
42.90727, -78.86932,
42.90729, -78.86932,
42.90731, -78.86931,
42.90733, -78.86930,
42.90735, -78.86927,
42.90738, -78.86925,
42.90739, -78.86925,
42.90742, -78.86924,
42.90745, -78.86923,
42.90746, -78.86920,
42.90749, -78.86918,
42.90752, -78.86919,
42.90754, -78.86919,
42.90756, -78.86920,
42.90758, -78.86920,
42.90763, -78.86920,
42.90765, -78.86919,
42.90768, -78.86918,
42.90770, -78.86917,
42.90772, -78.86916,
42.90775, -78.86916,
42.90778, -78.86915,
42.90777, -78.86913,
42.90775, -78.86912,
42.90773, -78.86912,
42.90772, -78.86916,
42.90773, -78.86919,
42.90774, -78.86922,
42.90774, -78.86925,
42.90772, -78.86926,
42.90770, -78.86925,
42.90771, -78.86921,
42.90772, -78.86919,
42.90775, -78.86918,
42.90777, -78.86917,
42.90778, -78.86915,
42.90778, -78.86909,
42.90779, -78.86907,
42.90782, -78.86905,
42.90784, -78.86905,
42.90787, -78.86903,
42.90790, -78.86902,
42.90792, -78.86901,
42.90794, -78.86900,
42.90796, -78.86898,
42.90799, -78.86899,
42.90803, -78.86898,
42.90806, -78.86898,
42.90809, -78.86896,
42.90811, -78.86895,
42.90813, -78.86895,
42.90815, -78.86894,
42.90817, -78.86893,
42.90820, -78.86891,
42.90822, -78.86890,
42.90825, -78.86891,
42.90829, -78.86891,
42.90832, -78.86890,
42.90835, -78.86889,
42.90837, -78.86888,
42.90840, -78.86887,
42.90842, -78.86886,
42.90844, -78.86886,
42.90846, -78.86888,
42.90849, -78.86887,
42.90851, -78.86885,
42.90852, -78.86886,
42.90855, -78.86887,
42.90858, -78.86886,
42.90861, -78.86885,
42.90864, -78.86883,
42.90865, -78.86881,
42.90868, -78.86881,
42.90871, -78.86879,
42.90873, -78.86879,
42.90875, -78.86879,
42.90877, -78.86881,
42.90877, -78.86884,
42.90878, -78.86887,
42.90877, -78.86890,
42.90877, -78.86893,
42.90878, -78.86896,
42.90879, -78.86899,
42.90880, -78.86903,
42.90881, -78.86907,
42.90881, -78.86909,
42.90882, -78.86914,
42.90881, -78.86917,
42.90881, -78.86920,
42.90881, -78.86923,
42.90882, -78.86927,
42.90882, -78.86929,
42.90884, -78.86930,
42.90885, -78.86933,
42.90885, -78.86936,
42.90885, -78.86939,
42.90885, -78.86943,
42.90885, -78.86945,
42.90886, -78.86948,
42.90886, -78.86951,
42.90886, -78.86954,
42.90887, -78.86956,
42.90887, -78.86960,
42.90887, -78.86963,
42.90888, -78.86966,
42.90887, -78.86970,
42.90887, -78.86973,
42.90887, -78.86976,
42.90888, -78.86980,
42.90888, -78.86985,
42.90888, -78.86988,
42.90888, -78.86990,
42.90887, -78.86994,
42.90887, -78.86998,
42.90888, -78.87001,
42.90889, -78.87006,
42.90889, -78.87009,
42.90890, -78.87011,
42.90892, -78.87015,
42.90892, -78.87018,
42.90892, -78.87023,
42.90893, -78.87026,
42.90893, -78.87029,
42.90893, -78.87033,
42.90893, -78.87037,
42.90893, -78.87042,
42.90893, -78.87046,
42.90893, -78.87049,
42.90892, -78.87054,
42.90894, -78.87057,
42.90894, -78.87060,
42.90896, -78.87057,
42.90897, -78.87058,
42.90899, -78.87061,
42.90902, -78.87066,
42.90903, -78.87063,
42.90906, -78.87060,
42.90908, -78.87061,
42.90908, -78.87065,
42.90901, -78.87068,
42.90899, -78.87059,
42.90894, -78.87054,
