reclat,reclon,
42.92290, -78.88511,
42.92287, -78.88510,
42.92284, -78.88511,
42.92282, -78.88511,
42.92279, -78.88511,
42.92276, -78.88512,
42.92273, -78.88512,
42.92269, -78.88512,
42.92266, -78.88513,
42.92264, -78.88513,
42.92261, -78.88513,
42.92259, -78.88513,
42.92256, -78.88513,
42.92253, -78.88514,
42.92251, -78.88516,
42.92248, -78.88516,
42.92246, -78.88516,
42.92244, -78.88516,
42.92242, -78.88517,
42.92240, -78.88517,
42.92237, -78.88518,
42.92234, -78.88518,
42.92231, -78.88518,
42.92228, -78.88519,
42.92225, -78.88519,
42.92223, -78.88520,
42.92220, -78.88520,
42.92218, -78.88521,
42.92215, -78.88522,
42.92213, -78.88522,
42.92210, -78.88521,
42.92208, -78.88519,
42.92205, -78.88517,
42.92204, -78.88515,
42.92206, -78.88515,
42.92208, -78.88516,
42.92210, -78.88514,
42.92210, -78.88511,
42.92208, -78.88508,
42.92207, -78.88506,
42.92207, -78.88503,
42.92206, -78.88500,
42.92206, -78.88497,
42.92206, -78.88494,
42.92206, -78.88491,
42.92206, -78.88487,
42.92207, -78.88483,
42.92207, -78.88479,
42.92207, -78.88475,
42.92206, -78.88471,
42.92207, -78.88467,
42.92207, -78.88463,
42.92208, -78.88459,
42.92209, -78.88455,
42.92210, -78.88451,
42.92210, -78.88448,
42.92209, -78.88444,
42.92209, -78.88440,
42.92208, -78.88436,
42.92208, -78.88432,
42.92206, -78.88428,
42.92205, -78.88425,
42.92205, -78.88422,
42.92206, -78.88419,
42.92206, -78.88415,
42.92206, -78.88411,
42.92205, -78.88407,
42.92206, -78.88402,
42.92207, -78.88398,
42.92208, -78.88395,
42.92208, -78.88392,
42.92206, -78.88388,
42.92205, -78.88385,
42.92205, -78.88381,
42.92205, -78.88378,
42.92205, -78.88374,
42.92205, -78.88370,
42.92205, -78.88367,
42.92206, -78.88365,
42.92206, -78.88361,
42.92205, -78.88357,
42.92206, -78.88353,
42.92207, -78.88351,
42.92207, -78.88348,
42.92209, -78.88345,
42.92209, -78.88342,
42.92209, -78.88339,
42.92209, -78.88334,
42.92209, -78.88331,
42.92211, -78.88328,
42.92213, -78.88325,
42.92214, -78.88323,
42.92215, -78.88320,
42.92215, -78.88317,
42.92215, -78.88314,
42.92216, -78.88309,
42.92217, -78.88307,
42.92219, -78.88304,
42.92221, -78.88305,
42.92222, -78.88307,
42.92221, -78.88309,
42.92219, -78.88310,
42.92218, -78.88307,
42.92219, -78.88304,
42.92219, -78.88302,
42.92220, -78.88297,
42.92220, -78.88293,
42.92221, -78.88290,
42.92220, -78.88287,
42.92220, -78.88284,
42.92223, -78.88280,
42.92224, -78.88278,
42.92226, -78.88275,
42.92226, -78.88272,
42.92226, -78.88269,
42.92227, -78.88267,
42.92227, -78.88264,
42.92227, -78.88262,
42.92227, -78.88259,
42.92227, -78.88256,
42.92227, -78.88253,
42.92228, -78.88250,
42.92229, -78.88246,
42.92228, -78.88242,
42.92228, -78.88238,
42.92227, -78.88234,
42.92227, -78.88230,
42.92227, -78.88227,
42.92227, -78.88223,
42.92227, -78.88219,
42.92227, -78.88214,
42.92227, -78.88210,
42.92227, -78.88207,
42.92226, -78.88203,
42.92226, -78.88199,
42.92226, -78.88196,
42.92226, -78.88192,
42.92225, -78.88187,
42.92225, -78.88183,
42.92225, -78.88180,
42.92225, -78.88176,
42.92225, -78.88173,
42.92225, -78.88169,
42.92225, -78.88164,
42.92225, -78.88161,
42.92225, -78.88158,
42.92227, -78.88155,
42.92229, -78.88154,
42.92232, -78.88154,
42.92235, -78.88153,
42.92238, -78.88152,
42.92241, -78.88152,
42.92243, -78.88153,
42.92246, -78.88153,
