reclat,reclon,
42.97374, -78.83783,
42.97371, -78.83783,
42.97368, -78.83783,
42.97367, -78.83781,
42.97365, -78.83781,
42.97364, -78.83778,
42.97363, -78.83774,
42.97361, -78.83772,
42.97359, -78.83772,
42.97359, -78.83775,
42.97361, -78.83776,
42.97361, -78.83780,
42.97362, -78.83777,
42.97360, -78.83776,
42.97358, -78.83776,
42.97355, -78.83775,
42.97353, -78.83775,
42.97350, -78.83774,
42.97348, -78.83773,
42.97346, -78.83774,
42.97342, -78.83774,
42.97340, -78.83774,
42.97338, -78.83775,
42.97336, -78.83776,
42.97333, -78.83777,
42.97331, -78.83778,
42.97330, -78.83778,
42.97328, -78.83779,
42.97325, -78.83779,
42.97322, -78.83779,
42.97320, -78.83779,
42.97317, -78.83780,
42.97314, -78.83779,
42.97312, -78.83779,
42.97309, -78.83778,
42.97307, -78.83778,
42.97304, -78.83778,
42.97302, -78.83778,
42.97299, -78.83778,
42.97297, -78.83778,
42.97294, -78.83778,
42.97292, -78.83777,
42.97290, -78.83778,
42.97287, -78.83780,
42.97284, -78.83781,
42.97282, -78.83780,
42.97278, -78.83781,
42.97276, -78.83781,
42.97273, -78.83782,
42.97270, -78.83782,
42.97267, -78.83782,
42.97265, -78.83781,
42.97261, -78.83781,
42.97258, -78.83782,
42.97260, -78.83780,
42.97261, -78.83778,
42.97263, -78.83777,
42.97266, -78.83777,
42.97271, -78.83776,
42.97269, -78.83776,
42.97266, -78.83776,
42.97263, -78.83776,
42.97261, -78.83775,
42.97258, -78.83776,
42.97255, -78.83776,
42.97253, -78.83777,
42.97250, -78.83776,
42.97246, -78.83776,
42.97242, -78.83778,
42.97239, -78.83779,
42.97238, -78.83779,
42.97235, -78.83779,
42.97233, -78.83780,
42.97231, -78.83781,
42.97228, -78.83782,
42.97226, -78.83783,
42.97224, -78.83782,
42.97222, -78.83782,
42.97220, -78.83783,
42.97220, -78.83788,
42.97219, -78.83791,
42.97219, -78.83788,
42.97220, -78.83786,
42.97219, -78.83784,
42.97217, -78.83785,
42.97214, -78.83785,
42.97212, -78.83785,
42.97209, -78.83785,
42.97206, -78.83785,
42.97203, -78.83785,
42.97199, -78.83784,
42.97197, -78.83784,
42.97195, -78.83785,
42.97192, -78.83784,
42.97190, -78.83785,
42.97187, -78.83784,
42.97185, -78.83783,
42.97188, -78.83782,
42.97186, -78.83782,
42.97183, -78.83783,
42.97181, -78.83782,
42.97179, -78.83782,
42.97176, -78.83782,
42.97174, -78.83782,
42.97171, -78.83784,
42.97168, -78.83784,
42.97166, -78.83784,
42.97164, -78.83785,
42.97162, -78.83785,
42.97159, -78.83784,
42.97157, -78.83784,
42.97152, -78.83785,
42.97149, -78.83785,
42.97148, -78.83784,
42.97145, -78.83784,
42.97143, -78.83785,
42.97141, -78.83786,
42.97138, -78.83787,
42.97135, -78.83787,
42.97133, -78.83788,
42.97131, -78.83789,
42.97129, -78.83791,
42.97131, -78.83790,
42.97129, -78.83787,
42.97126, -78.83789,
42.97122, -78.83789,
42.97118, -78.83789,
42.97115, -78.83791,
42.97118, -78.83791,
42.97115, -78.83789,
42.97112, -78.83788,
42.97110, -78.83788,
42.97108, -78.83787,
42.97106, -78.83789,
42.97103, -78.83789,
42.97102, -78.83791,
42.97100, -78.83791,
42.97097, -78.83792,
42.97093, -78.83792,
42.97091, -78.83793,
42.97088, -78.83793,
42.97086, -78.83794,
42.97084, -78.83794,
42.97081, -78.83793,
42.97079, -78.83793,
42.97077, -78.83795,
42.97079, -78.83797,
42.97077, -78.83797,
42.97074, -78.83795,
42.97072, -78.83795,
42.97069, -78.83794,
42.97067, -78.83796,
42.97065, -78.83796,
42.97063, -78.83796,
42.97059, -78.83797,
42.97057, -78.83799,
42.97055, -78.83798,
42.97054, -78.83798,
42.97051, -78.83798,
42.97049, -78.83798,
42.97045, -78.83798,
42.97042, -78.83798,
42.97040, -78.83799,
42.97037, -78.83800,
42.97035, -78.83801,
42.97033, -78.83801,
42.97031, -78.83801,
42.97028, -78.83801,
42.97025, -78.83800,
42.97022, -78.83799,
42.97019, -78.83800,
42.97016, -78.83800,
42.97013, -78.83799,
42.97010, -78.83800,
42.97007, -78.83800,
42.97004, -78.83800,
42.97001, -78.83800,
42.96998, -78.83799,
42.96995, -78.83800,
42.96992, -78.83797,
42.96990, -78.83797,
42.96987, -78.83799,
42.96984, -78.83799,
42.96981, -78.83800,
42.96980, -78.83801,
42.96977, -78.83801,
42.96974, -78.83801,
42.96971, -78.83801,
42.96969, -78.83800,
42.96966, -78.83800,
42.96963, -78.83801,
42.96960, -78.83800,
42.96957, -78.83800,
42.96954, -78.83800,
42.96952, -78.83800,
42.96949, -78.83799,
42.96948, -78.83797,
42.96946, -78.83796,
42.96945, -78.83793,
42.96942, -78.83790,
42.96941, -78.83787,
